genes,reaction,Phase
ACAD11,ACOAD1fm,G1
ACAD11,PPCOAOm,G1
ACAT1,ACACT10m,G1
ACAT1,ACACT1rm,G1
ACLY,ACITL,G1
CAT,CAT2p,G1
CAT,CATm,G1
CAT,CATp,G1
FASN,ACOATA,G1
FASN,FAS100COA,G1
FASN,FAS120COA,G1
FASN,FAS140COA,G1
FASN,FAS160COA,G1
FASN,FAS180COA,G1
FASN,FAS80COA_L,G1
FASN,KAS8,G1
FASN,MCOATA,G1
GOT2,CYSTAm,G1
GOT2,EHGLAT2m,G1
GOT2,EHGLATm,G1
GOT2,LCYSTATm,G1
GOT2,PHETA1m,G1
GOT2,TYRTAm,G1
HSD17B4,C3STKR2r,G1
HSD17B4,FAOXC16080x,G1
HSD17B4,FAOXC180x,G1
HSD17B4,FAOXC183806x,G1
HSD17B4,FAOXC18480x,G1
HSD17B4,FAOXC200180x,G1
HSD17B4,FAOXC2051843x,G1
HSD17B4,FAOXC2242046x,G1
HSD17B4,FAOXC2251836x,G1
HSD17B4,FAOXC2252053x,G1
HSD17B4,FAOXC226205x,G1
HSD17B4,FAOXC240200x,G1
HSD17B4,FAOXC241181x,G1
HSD17B4,FAOXC2442246x,G1
HSD17B4,FAOXC2452253x,G1
HSD17B4,FAOXC2452256x,G1
HSD17B4,FAOXC246226x,G1
HSD17B4,FAOXC260240x,G1
HSD17B4,HACD1x,G1
HSD17B4,HSD17B42x,G1
HSD17B4,HSD17B4x,G1
HSD17B4,PEROXx,G1
LDHA,2HBO,G1
LDHA,GLXO1,G1
LDHA,HPYRR2x,G1
LDHA,MCLOR,G1
LDHB,2HBO,G1
LDHB,GLXO1,G1
LDHB,HPYRR2x,G1
LDHB,MCLOR,G1
MDH2,MDHm,G1
NUDT5,ADPGLC,G1
NUDT5,ADPMAN,G1
NUDT5,ADPRDP,G1
PGAM1,DPGM,G1
RRM1,RNDR1,G1
RRM1,RNDR2,G1
RRM1,RNDR3,G1
RRM1,RNDR4,G1
SCP2,SCP21x,G1
SCP2,SCP22x,G1
SCP2,SCP2x,G1
SCP2,SCP3x,G1
SCP2,SCPx,G1
SDHA,SUCD1m,G1
SHMT2,GHMT2rm,G1
DLD,GCC2am,S
DLD,GCC2bim,S
DLD,GCC2cm,S
DLD,GCCam,S
DLD,GCCcm,S
SHMT2,GHMT2rm,S
DLD,2OXOADOXm,G2
DLD,PDHm,G2
HSD17B4,HACD1x,G2
MTHFD1L,FTHFLm,G2
