genes,reaction
AACS,ACS
AADAC,EGMESTr
ACACB,ACCOACm
ACAD10,ACOAD1fm
ACAD10,PPCOAOm
ACAD11,ACOAD1fm
ACAD11,PPCOAOm
ACAT1,ACACT10m
ACAT1,ACACT1rm
ACAT2,ACACT1x
ACLY,ACITL
ACP2,3NTD7l
ACP2,LAPCOAl
ACP2,NTD2l
ACP2,NTD3l
ACP2,NTD4l
ACP2,NTD5l
ACP2,NTD6l
ACP2,NTD7l
ACP2,NTD8l
ACP2,NTD9l
ACSM1,FACOAL40im
ACSS1,ACCOALm
ACSS1,ACSm
ADA,ADA
ADA,ADAe
ADA,DADA
ADA,DADAe
AHCY,AHC
AHCY,SEAHCYSHYD
AHCYL2,SEAHCYSHYD
ALDH1B1,GLACOm
ALDH1B1,IMACTD_m
ALDH1B1,NABTNOm
ALDH1L1,FDH
ALDH2,GLACOm
ALDH2,IMACTD_m
ALDH2,NABTNOm
ALDOC,FBA
ALPL,ALKP
ALPP,ALKP
AMDHD2,AGDC
ANPEP,AMPTASECG
ANPEP,AMPTASECGe
ARG1,ARGN
ARG2,ARGNm
BCAT2,ILETAm
BCAT2,LEUTAm
BCAT2,VALTAm
BLVRA,BILIRED
BLVRB,BILIRED
CAT,CAT2p
CAT,CATm
CAT,CATp
CKMT2,CK
CNDP1,NBAHH_ir
DBH,DOPABMO
DLD,2OXOADOXm
DLD,AKGDm
DLD,GCC2am
DLD,GCC2bim
DLD,GCC2cm
DLD,GCCam
DLD,GCCbim
DLD,GCCcm
DLD,OIVD1m
DLD,OIVD2m
DLD,OIVD3m
DLD,PDHm
ECHS1,ECOAH12m
ECHS1,ECOAH1m
ECHS1,ECOAH9m
ECHS1,PRPNCOAHYDm
EHHADH,C2M26DCOAHLx
EHHADH,ECOAH1x
EHHADH,FAOXC2051843x
EHHADH,FAOXC2251836x
EHHADH,FAOXC226205x
EHHADH,HACD1x
EHHADH,PEROXx
EHHADH,PRPNCOAHYDx
EHHADH,T2M26DCOAHLx
ENGASE,ENGASE
ENGASE,ENGASE2
ENO1,ENO
ENO2,ENO
ENTPD1,ATPH1e
ENTPD1,ATPH2e
ENTPD3,ATPH1e
ENTPD3,ATPH2e
ETFDH,ETFQO
FASN,ACOATA
FASN,FAS100COA
FASN,FAS120COA
FASN,FAS140COA
FASN,FAS160COA
FASN,FAS180COA
FASN,FAS80COA_L
FASN,KAS8
FASN,MCOATA
G6PC2,CBPPer
G6PC2,G6PPer
G6PC2,PPAer
G6PC3,CBPPer
G6PC3,G6PPer
G6PC3,PPAer
GAA,MALTly
GAA,MLTG1ly
GAPDH,GAPD
GATM,GLYAMDTRc
GCAT,ALASm
GCAT,GLYATm
GCLM,GLUCYS
GGT5,GGT5r
GK2,GLYKm
GLA,GLAl
GLB1,GALASE10ly
GLB1,GALASE11ly
GLB1,GALASE12ly
GLB1,GALASE13ly
GLB1,GALASE14ly
GLB1,GALASE15ly
GLB1,GALASE16ly
GLB1,GALASE17ly
GLB1,GALASE18ly
GLB1,GALASE19ly
GLB1,GALASE1ly
GLB1,GALASE20ly
GLB1,GALASE3ly
GLB1,GALASE4ly
GLB1,GALASE5ly
GLB1,GALASE6ly
GLB1,GALASE7ly
GLB1,GALASE8ly
GLB1,GALASE9ly
GLB1,GLB1
GLB1,LACZly
GLB1,S6TASE10ly
GLB1,S6TASE22ly
GLB1,S6TASE25ly
GLB1,S6TASE4ly
GLB1,S6TASE5ly
GLB1,S6TASE6ly
GLB1,S6TASE7ly
GLB1,S6TASE8ly
GLB1,S6TASE9ly
GLB1,SIAASE2ly
GLB1,SIAASE3ly
GLB1,SIAASE4ly
GLB1,SIAASEly
GNPAT,DHAPAx
GOT1,3SALATAi
GOT1,ASPTA
GOT1,CYSTA
GOT1,EHGLAT
GOT1,LCYSTAT
GOT1,PHETA1
GOT1,TYRTA
GOT2,3SALATAim
GOT2,ASPTAm
GOT2,CYSTAm
GOT2,EHGLAT2m
GOT2,EHGLATm
GOT2,LCYSTATm
GOT2,PHETA1m
GOT2,TYRTAm
GPAM,GPAM_hs
GPAM,GPAMm_hs
GPD1,G3PD1
GPD2,G3PD2m
GPT,ALATA_L
GPT2,ALATA_L
GPX3,GTHPe
GPX6,GTHPe
GSR,GTHOm
GUSB,GLCAASE1ly
GUSB,GLCAASE4ly
GUSB,GLCAASE5ly
GUSB,GLCAASE6ly
GUSB,GLCAASE7ly
GUSB,GLCAASE8ly
GUSB,GLCAASE9ly
GYG1,GGNG
GYG1,GLGNS1
GYS1,GGNG
GYS1,GLGNS1
GYS2,GGNG
GYS2,GLGNS1
H6PD,PGLer
HADH,HACD1m
HADHA,ACACT1rm
HADHA,C2M26DCOAHLm
HADHA,ECOAH12m
HADHA,ECOAH1m
HADHA,ECOAH9m
HADHA,HACD1m
HADHA,PRPNCOAHYDm
HADHA,T2M26DCOAHLm
HADHB,ACACT1rm
HAGH,GLYOX
HAGH,GLYOXm
HAL,HISD
HAO1,GLYCTO1p
HEXA,AHEXASE2ly
HEXA,AHEXASEly
HEXA,NACHEX10ly
HEXA,NACHEX11ly
HEXA,NACHEX12ly
HEXA,NACHEX13ly
HEXA,NACHEX14ly
HEXA,NACHEX15ly
HEXA,NACHEX16ly
HEXA,NACHEX17ly
HEXA,NACHEX18ly
HEXA,NACHEX19ly
HEXA,NACHEX1ly
HEXA,NACHEX20ly
HEXA,NACHEX21ly
HEXA,NACHEX22ly
HEXA,NACHEX23ly
HEXA,NACHEX24ly
HEXA,NACHEX25ly
HEXA,NACHEX26ly
HEXA,NACHEX27ly
HEXA,NACHEX2ly
HEXA,NACHEX3ly
HEXA,NACHEX4ly
HEXA,NACHEX5ly
HEXA,NACHEX6ly
HEXA,NACHEX7ly
HEXA,NACHEX8ly
HEXA,NACHEX9ly
HEXA,NACHEXA10ly
HEXA,NACHEXA11ly
HEXA,NACHEXA12ly
HEXA,NACHEXA13ly
HEXA,NACHEXA14ly
HEXA,NACHEXA15ly
HEXA,NACHEXA16ly
HEXA,NACHEXA17ly
HEXA,NACHEXA18ly
HEXA,NACHEXA19ly
HEXA,NACHEXA1ly
HEXA,NACHEXA20ly
HEXA,NACHEXA21ly
HEXA,NACHEXA22ly
HEXA,NACHEXA2ly
HEXA,NACHEXA3ly
HEXA,NACHEXA4ly
HEXA,NACHEXA5ly
HEXA,NACHEXA6ly
HEXA,NACHEXA7ly
HEXA,NACHEXA8ly
HEXA,NACHEXA9ly
HEXB,AHEXASE2ly
HEXB,AHEXASEly
HEXB,NACHEX10ly
HEXB,NACHEX11ly
HEXB,NACHEX12ly
HEXB,NACHEX13ly
HEXB,NACHEX14ly
HEXB,NACHEX15ly
HEXB,NACHEX16ly
HEXB,NACHEX17ly
HEXB,NACHEX18ly
HEXB,NACHEX19ly
HEXB,NACHEX1ly
HEXB,NACHEX20ly
HEXB,NACHEX21ly
HEXB,NACHEX22ly
HEXB,NACHEX23ly
HEXB,NACHEX24ly
HEXB,NACHEX25ly
HEXB,NACHEX26ly
HEXB,NACHEX27ly
HEXB,NACHEX2ly
HEXB,NACHEX3ly
HEXB,NACHEX4ly
HEXB,NACHEX5ly
HEXB,NACHEX6ly
HEXB,NACHEX7ly
HEXB,NACHEX8ly
HEXB,NACHEX9ly
HEXB,NACHEXA10ly
HEXB,NACHEXA11ly
HEXB,NACHEXA12ly
HEXB,NACHEXA13ly
HEXB,NACHEXA14ly
HEXB,NACHEXA15ly
HEXB,NACHEXA16ly
HEXB,NACHEXA17ly
HEXB,NACHEXA18ly
HEXB,NACHEXA19ly
HEXB,NACHEXA1ly
HEXB,NACHEXA20ly
HEXB,NACHEXA21ly
HEXB,NACHEXA22ly
HEXB,NACHEXA2ly
HEXB,NACHEXA3ly
HEXB,NACHEXA4ly
HEXB,NACHEXA5ly
HEXB,NACHEXA6ly
HEXB,NACHEXA7ly
HEXB,NACHEXA8ly
HEXB,NACHEXA9ly
HIBADH,HIBDm
HK2,HEX1
HK3,HEX1
HKDC1,HEX1
HMGCR,HMGCOARx
HSD17B4,C3STKR2r
HSD17B4,FAOXC16080x
HSD17B4,FAOXC180x
HSD17B4,FAOXC183806x
HSD17B4,FAOXC18480x
HSD17B4,FAOXC200180x
HSD17B4,FAOXC2051843x
HSD17B4,FAOXC2242046x
HSD17B4,FAOXC2251836x
HSD17B4,FAOXC2252053x
HSD17B4,FAOXC226205x
HSD17B4,FAOXC240200x
HSD17B4,FAOXC241181x
HSD17B4,FAOXC2442246x
HSD17B4,FAOXC2452253x
HSD17B4,FAOXC2452256x
HSD17B4,FAOXC246226x
HSD17B4,FAOXC260240x
HSD17B4,HACD1x
HSD17B4,HSD17B42x
HSD17B4,HSD17B4x
HSD17B4,PEROXx
IDO1,SRTN23OX
IMPA1,MI1PP
IMPA1,MI4PP
IMPA2,MI1PP
IMPA2,MI4PP
INPP5A,MI1345PP
INPP5A,MI145PP
INPP5A,PI345P5P
LDHA,2HBO
LDHA,GLXO1
LDHA,HPYRR2x
LDHA,LDH_L
LDHA,LDH_Lm
LDHA,MCLOR
LDHAL6B,2HBO
LDHAL6B,HPYRR2x
LDHAL6B,LDH_L
LDHAL6B,MCLOR
LDHB,2HBO
LDHB,GLXO1
LDHB,HPYRR2x
LDHB,LDH_L
LDHB,MCLOR
LIPC,LPS2e
LIPC,LPS3e
LIPC,LPSe
LIPF,LPSe
LIPG,LPSe
MANBA,B_MANNASEly
MDH1,MDH
MDH1,SLDx
MDH1B,MDH
MDH2,MDHm
MDH2,SLDxm
ME1,ME2
ME2,ME1m
ME2,ME2m
ME3,ME2m
MGAM,GAMYe
MGAM,MALTe
MGAM,MLTG1e
MGAM,SUCRe
MLYCD,MCDm
MLYCD,MCDp
MLYCD,MMCDm
MLYCD,MMCDp
MOGS,MG1er
MTHFD1L,FTHFLm
MTHFD1L,MTHFDm
MTHFD2,MTHFD2m
NDUFA1,NADH2_u10m
NDUFA4,NADH2_u10m
NDUFA5,NADH2_u10m
NDUFA8,NADH2_u10m
NDUFB2,NADH2_u10m
NDUFB4,NADH2_u10m
NDUFB5,NADH2_u10m
NDUFB7,NADH2_u10m
NDUFS6,NADH2_u10m
NME4,NDPK10m
NME4,NDPK2m
NME4,NDPK9m
NT5C2,NTD10
NT5C2,NTD11
NT5C2,NTD7
NT5C2,NTD8
NT5C2,NTD9
NT5E,NTD2e
NT5E,NTD4e
NT5E,NTD7e
NT5E,NTD9e
OTC,OCBTm
OXCT1,OCOAT1m
PCK2,PEPCKm
PDHA1,PDHm
PDHA2,PDHm
PDHB,PDHm
PGAM1,DPGase
PGD,GND
PGK1,PGK
PGK2,PGK
PHGDH,PGCD
PIPOX,LPCOXp
PIPOX,SARCOXp
PLA2G3,LPS4e
PNLIP,LPSe
PPA1,PPA
PRPS1,PRPPS
PRPS2,PRPPS
PSPH,PSP_L
PTGS1,PGSr
PTGS2,PGSr
PYGB,GLPASE1
PYGB,GLPASE2
PYGL,GLPASE1
PYGL,GLPASE2
PYGM,GLPASE1
PYGM,GLPASE2
RENBP,ACGAM2E
RPIA,RPI
RRM1,RNDR2
RRM1,RNDR4
SCP2,SCP21x
SCP2,SCP22x
SCP2,SCP2x
SCP2,SCP3x
SCP2,SCPx
SDHA,SUCD1m
SDS,SERHL
SHMT2,GHMT3m
SOD1,SPODM
SUCLG1,MECOAS1m
SUCLG2,ITCOAL1m
SUCLG2,MECOAS1m
SUCLG2,SUCOAS1m
TAT,PHETA1m
TAT,TYRTAm
TKT,TKT1
TKT,TKT2
TKTL1,TKT1
TKTL1,TKT2
TKTL2,TKT1
TKTL2,TKT2
TPI1,TPI
TREH,TREHe
TST,CYANSTm
TXNRD3,TRDRm
TYR,DOPACHRMISO
TYR,T4HCINNOX
TYR,TYRDOPO
