genes,reaction
ACAD10,PPCOAOm
ACAD11,ACOAD1fm
ACAD11,PPCOAOm
ACAD9,ACOAD1fm
ACAD9,PPCOAOm
ACAT1,ACACT10m
ACAT1,ACACT1rm
ACLY,ACITL
ACP2,LAPCOAl
ACP2,NTD2l
ACP2,NTD5l
AHCY,AHC
AHCY,SEAHCYSHYD
ALDOC,FBA4
ALOX12B,ALOX12R
ANPEP,AMPTASECGe
BLVRA,BILIRED
CAT,CAT2p
CAT,CATm
CAT,CATp
CDS2,CDSm
CHPF,GALNACT2g
CHSY3,GALNACT2g
CMPK1,CYTK11n
CMPK1,CYTK13n
CMPK1,UMPK6n
COQ7,COQ7m
COX1,CYOOm3
COX2,CYOOm3
COX4I1,CYOOm3
COX5A,CYOOm3
DGKI,DAGKn_hs
DLAT,PDHm
DLD,2OXOADOXm
DLD,AKGDm
DLD,GCC2am
DLD,GCC2bim
DLD,GCC2cm
DLD,GCCam
DLD,GCCbim
DLD,GCCcm
DLD,OIVD1m
DLD,OIVD2m
DLD,OIVD3m
DLD,PDHm
DNMT1,DNAMTSEn
ENO1,ENO
EPX,PRDX
FASN,ACOATA
FASN,FAS100COA
FASN,FAS120COA
FASN,FAS140COA
FASN,FAS160COA
FASN,FAS180COA
FASN,FAS80COA_L
FASN,KAS8
FASN,MCOATA
FH,FUM
FH,FUMm
GALNT5,GALNTg
GCAT,GLYATm
GLB1,GLB1
GLB1,LACZly
GMPS,GMPS2
GNPAT,DHAPA
GNPAT,DHAPAx
GOT2,3SALATAim
GOT2,ASPTAm
GOT2,CYSTAm
GOT2,EHGLAT2m
GOT2,EHGLATm
GOT2,LCYSTATm
GOT2,PHETA1m
GOT2,TYRTAm
H6PD,G6PDH1rer
HADHA,ACACT1rm
HADHA,C2M26DCOAHLm
HADHA,ECOAH12m
HADHA,ECOAH1m
HADHA,ECOAH9m
HADHA,HACD1m
HADHA,PRPNCOAHYDm
HADHA,T2M26DCOAHLm
HADHB,ACACT1rm
HADHB,C2M26DCOAHLm
HADHB,ECOAH12m
HADHB,ECOAH1m
HADHB,ECOAH9m
HADHB,HACD1m
HADHB,PRPNCOAHYDm
HADHB,T2M26DCOAHLm
HLCS,BACCLm
HMBS,HMBS
HMGCL,HMGLm
HMGCL,HMGLx
HSD17B10,HACD9m
HSD17B4,C3STKR2r
HSD17B4,FAOXC16080x
HSD17B4,FAOXC180x
HSD17B4,FAOXC183806x
HSD17B4,FAOXC18480x
HSD17B4,FAOXC200180x
HSD17B4,FAOXC2051843x
HSD17B4,FAOXC2242046x
HSD17B4,FAOXC2251836x
HSD17B4,FAOXC2252053x
HSD17B4,FAOXC226205x
HSD17B4,FAOXC240200x
HSD17B4,FAOXC241181x
HSD17B4,FAOXC2442246x
HSD17B4,FAOXC2452253x
HSD17B4,FAOXC2452256x
HSD17B4,FAOXC246226x
HSD17B4,FAOXC260240x
HSD17B4,HACD1x
HSD17B4,HSD17B42x
HSD17B4,HSD17B4x
HSD17B4,PEROXx
IDH2,ICDHyrm
IMPDH2,IMPD
IP6K3,PMI12346PHn
IP6K3,PMI1346PHn
LDHA,2HBO
LDHA,GLXO1
LDHA,HPYRR2x
LDHA,LDH_L
LDHA,LDH_Lm
LDHA,MCLOR
LDHAL6B,GLXO1
LDHAL6B,HPYRR2x
LDHB,2HBO
LDHB,GLXO1
LDHB,HPYRR2x
LDHB,LDH_L
LDHB,MCLOR
MAN1B1,MAN1_6B1er
MAN1B1,MAN1_7Ber
MAN1B1,MM8Ber
MDH2,MDHm
MDH2,SLDxm
MPO,PRDXl
MTHFD1,MTHFD
MTHFD1L,FTHFLm
MTHFD1L,MTHFCm
MTHFD1L,MTHFDm
MTHFD2,MTHFCm
MTHFD2,MTHFD2m
MTHFD2,MTHFDm
NAGLU,GLCNACASE1ly
NAGLU,GLCNACASE2ly
NAGLU,GLCNACASE3ly
NAGLU,GLCNACASE4ly
NAGLU,GLCNACASE5ly
NSDHL,C3STDH1Pr
NSDHL,C3STDH1r
NSDHL,C4STMO2r
NUDT5,ADPGLC
NUDT5,ADPMAN
NUDT5,ADPRDP
PDHB,PDHm
PDHX,PDHm
PGAM1,DPGM
PGAM1,DPGase
PGAM1,PGM
PGK1,PGK
PGK2,PGK
PPA1,PPA
PPAT,GLUPRT
PRPS1,PRPPS
PRPS2,PRPPS
RPN1,DOLASNT_Ler
RPN1,DOLASNT_Uer
RPN2,DOLASNT_Ler
RPN2,DOLASNT_Uer
RRM1,RNDR1
RRM1,RNDR2
RRM1,RNDR3
RRM1,RNDR4
SCP2,SCP21x
SCP2,SCP22x
SCP2,SCP2x
SCP2,SCP3x
SCP2,SCPx
SDHA,SUCD1m
SHMT2,GHMT2rm
SHMT2,GHMT3m
SLC25A4,ATPtm
SLC25A5,ATPtm
SLC5A6,LIPOti
SLC5A6,PNTOt5
SUCLG2,ITCOAL1m
SUCLG2,MECOAS1m
SUCLG2,SUCOAS1m
TKT,TKT1
TKT,TKT2
TPH1,TRPHYDRO2
TPH2,TRPHYDRO2
TPI1,TPI
UGT1A10,UGT1A1r
UGT1A10,UGT1A2r
UGT1A10,UGT1A3r
UGT1A10,UGT1A7r
