genes,reaction,Phase
AHCY,AHC,S
AHCY,SEAHCYSHYD,S
DLD,2OXOADOXm,S
DLD,AKGDm,S
DLD,GCC2am,S
DLD,GCC2bim,S
DLD,GCC2cm,S
DLD,GCCam,S
DLD,GCCbim,S
DLD,GCCcm,S
DLD,OIVD1m,S
DLD,OIVD2m,S
DLD,OIVD3m,S
DLD,PDHm,S
FH,FUMm,S
MTHFD1L,MTHFDm,S
ACAT1,ACACT10m,G2
ACAT1,ACACT1rm,G2
ACLY,ACITL,G2
CAT,CAT2p,G2
COX4I1,CYOOm3,G2
DLD,2OXOADOXm,G2
DLD,AKGDm,G2
DLD,GCC2am,G2
DLD,GCC2bim,G2
DLD,GCC2cm,G2
DLD,GCCam,G2
DLD,GCCbim,G2
DLD,GCCcm,G2
DLD,OIVD1m,G2
DLD,OIVD2m,G2
DLD,OIVD3m,G2
DLD,PDHm,G2
FASN,FAS160COA,G2
HSD17B4,C3STKR2r,G2
KYNU,HKYNH,G2
MTHFD1L,FTHFLm,G2
MTHFD1L,MTHFDm,G2
SDHA,SUCD1m,G2
SHMT2,GHMT3m,G2
