genes,reaction
ACAD11,ACOAD1fm
ACAD11,PPCOAOm
ACAT1,ACACT10m
ACAT1,ACACT1rm
ACAT2,ACACT1r
AK7,ADK1
ALDOB,FBA
ALDOC,FBA
BTD,BTNDm
CAT,CAT2p
CAT,CATm
CAT,CATp
CKB,CKc
FASN,ACOATA
FASN,MCOATA
GAPDHS,GAPD
GOT2,ASPTAm
HADHA,ACACT1rm
HADHA,C2M26DCOAHLm
HADHA,ECOAH12m
HADHA,ECOAH1m
HADHA,ECOAH9m
HADHA,HACD1m
HADHA,PRPNCOAHYDm
HADHA,T2M26DCOAHLm
HAL,HISD
MTHFD1,MTHFD
MTHFD1L,FTHFLm
MTHFD1L,MTHFDm
PGK1,PGK
PGK2,PGK
PIK3C2B,PI4P3Ker
PIK3C2B,PI5P3Ker
PIK3C2B,PIK3er
SDHA,SUCD1m
SLC5A11,INSTt4_2
SLC8A1,CAt7r
SLC8A2,CAt7r
TPI1,TPI
